,kasperl_pre1_tag_type,kasperl_pre1_tag_type_percentage,comedies1740_1770_pre1_tag_type,comedies1740_1770_pre1_tag_type_percentage,typecomedies_pre1_tag_type,typecomedies_pre1_tag_type_percentage
Schadenfreude,13,2.009273570324575,5.0,0.764525993883792,5.0,1.8382352941176472
abhorrence,42,6.491499227202473,61.0,9.327217125382264,24.0,8.823529411764707
"admiration, reverence",50,7.727975270479134,46.0,7.033639143730887,18.0,6.61764705882353
anger,54,8.346213292117465,72.0,11.009174311926607,49.0,18.014705882352942
being moved,113,17.465224111282843,94.0,14.37308868501529,32.0,11.76470588235294
compassion,9,1.3910355486862442,11.0,1.6819571865443423,11.0,4.044117647058823
desire,1,0.1545595054095827,,,,
despair,11,1.7001545595054095,6.0,0.9174311926605505,3.0,1.1029411764705883
fear,30,4.636785162287481,19.0,2.90519877675841,10.0,3.6764705882352944
friendship,14,2.1638330757341575,21.0,3.211009174311927,3.0,1.1029411764705883
joy,140,21.638330757341574,111.0,16.972477064220186,46.0,16.911764705882355
love,95,14.683153013910355,112.0,17.12538226299694,34.0,12.5
suffering,75,11.591962905718702,96.0,14.678899082568808,37.0,13.602941176470587
