,Unnamed: 0.1,Unnamed: 0.1.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,491,491,Kasperl/Eberl_Tode_korr.csv,"
      Rosel.",0,13,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,kasperl,KK
1,492,492,Kasperl/Eberl_Tode_korr.csv,Trautl.,14,21,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,kasperl,KK
2,493,493,Kasperl/Eberl_Tode_korr.csv,Everl.,22,28,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,kasperl,KK
3,494,494,Kasperl/Eberl_Tode_korr.csv,Vorige.,29,36,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,kasperl,KK
4,495,495,Kasperl/Eberl_Tode_korr.csv,"
       Nun Frau Nachbarinn?",0,28,character_speech,1,9,,"
       Rose.
      ",#rose,229.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
5,496,496,Kasperl/Eberl_Tode_korr.csv,"da sind die Vögel alle in einem Nest, kann sich jede den Ihrigen aussuchen.",29,104,character_speech,1,9,,"
       Rose.
      ",#rose,229.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
6,497,497,Kasperl/Eberl_Tode_korr.csv,"
       O weh!",0,14,character_speech,1,9,,"
       Alle 3 Männer.
      ",#mauskopf #katzbalg #spitzel,230.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,kasperl,KK
7,498,498,Kasperl/Eberl_Tode_korr.csv,wir sind geprellt; das ist Spitzbüberey!,15,55,character_speech,1,9,,"
       Alle 3 Männer.
      ",#mauskopf #katzbalg #spitzel,230.0,UNKNOWN,fear,negative,emotions of anxiety,kasperl,KK
8,499,499,Kasperl/Eberl_Tode_korr.csv,"
       Guten heut!",0,19,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,231.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
9,500,500,Kasperl/Eberl_Tode_korr.csv,Frau Schwägerinn!,20,37,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,231.0,UNKNOWN,love,positive,emotions of affection,kasperl,KK
10,501,501,Kasperl/Eberl_Tode_korr.csv,Kommen just recht; kriegen den Hrn.,38,73,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,231.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
11,502,502,Kasperl/Eberl_Tode_korr.csv,Richter noch ganz warm.,74,97,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,231.0,UNKNOWN,being moved,being moved,being moved,kasperl,KK
12,503,503,Kasperl/Eberl_Tode_korr.csv,"
       So ihr saubern Zeiserln – haben wir euch ertappt.",0,57,character_speech,1,9,,"
       Weiber.
      ",#rose #trautl #everl,232.0,UNKNOWN,anger,negative,emotions of rejection,kasperl,KK
13,504,504,Kasperl/Eberl_Tode_korr.csv,"
       Lieber Himmel!",0,22,character_speech,1,9,,"
       Trautl.
      ",#trautl,233.0,UNKNOWN,being moved,being moved,being moved,kasperl,KK
14,505,505,Kasperl/Eberl_Tode_korr.csv,mein Mann in einem Federbett!,23,52,character_speech,1,9,,"
       Trautl.
      ",#trautl,233.0,UNKNOWN,being moved,being moved,being moved,kasperl,KK
15,506,506,Kasperl/Eberl_Tode_korr.csv,"
       Ja er ist nicht heiklich, ist ihm jedes Bettgewand recht.",0,65,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,234.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
16,507,507,Kasperl/Eberl_Tode_korr.csv,"
       (beschämt, heraussteigend)",0,34,stage_direction,1,9,speech_part,,#mauskopf,235.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,kasperl,KK
17,508,508,Kasperl/Eberl_Tode_korr.csv,"
       Schau Weiberl!",0,22,character_speech,1,9,,"
       Mauskopf.
      ",#mauskopf,235.0,UNKNOWN,joy,positive,emotions of pleasure,kasperl,KK
18,509,509,Kasperl/Eberl_Tode_korr.csv,"muß dich nicht verdrüssen, bin nur in der Visitation gewest.",23,83,character_speech,1,9,,"
       Mauskopf.
      ",#mauskopf,235.0,UNKNOWN,anger,negative,emotions of rejection,kasperl,KK
19,510,510,Kasperl/Eberl_Tode_korr.csv,"
       Und mein Mann gar da oben?",0,34,character_speech,1,9,,"
       Everl.
      ",#everl,236.0,UNKNOWN,being moved,being moved,being moved,kasperl,KK
20,511,511,Kasperl/Eberl_Tode_korr.csv,"
       Ja!",0,11,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,237.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
21,512,512,Kasperl/Eberl_Tode_korr.csv,der hat die Fliegen wehren sollen.,12,46,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,237.0,UNKNOWN,abhorrence,negative,emotions of rejection,kasperl,KK
22,513,513,Kasperl/Eberl_Tode_korr.csv,"
       Und der Hr.",0,19,character_speech,1,9,,"
       Trautl.
      ",#trautl,238.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
23,514,514,Kasperl/Eberl_Tode_korr.csv,Gerichtsschreiber auch da?,20,46,character_speech,1,9,,"
       Trautl.
      ",#trautl,238.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
24,515,515,Kasperl/Eberl_Tode_korr.csv,"
       Ja, das ist der Geist des Trostes; wenn die Frau einmal Wittwe wird, den rekommandire ich.",0,98,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,239.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
25,516,516,Kasperl/Eberl_Tode_korr.csv,"
       Das ist eine Injurie!",0,29,character_speech,1,9,,"
       Richter.
      ",#richter,240.0,UNKNOWN,anger,negative,emotions of rejection,kasperl,KK
26,517,517,Kasperl/Eberl_Tode_korr.csv,"
       (herabsteigend)",0,23,stage_direction,1,9,speech_part,,#schulmeister,241.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
27,518,518,Kasperl/Eberl_Tode_korr.csv,"
       Crimen læsæ Authoritatis, scandalum primæ classis.",0,58,character_speech,1,9,,"
       Schulmeister.
      ",#schulmeister,241.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
28,519,519,Kasperl/Eberl_Tode_korr.csv,"
       (trinkt.)",0,17,stage_direction,1,9,speech_part,,#schulmeister,241.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
29,520,520,Kasperl/Eberl_Tode_korr.csv,"
       Nun meine Herren, da stünden wohl alle, wie die Pudeln nach dem Baade; – aber Sie, meine gute Nachbarinnen, Ihnen muß ich doch das Räthsel auflösen.",0,156,character_speech,1,9,,"
       Rose.
      ",#rose,242.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
30,521,521,Kasperl/Eberl_Tode_korr.csv,Die 3 Herren haben mich schon lange verfolgt –,157,203,character_speech,1,9,,"
       Rose.
      ",#rose,242.0,UNKNOWN,being moved,being moved,being moved,kasperl,KK
31,522,522,Kasperl/Eberl_Tode_korr.csv,"
       Ja, ja!",0,15,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,243.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
32,523,523,Kasperl/Eberl_Tode_korr.csv,das ist wahr!,16,29,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,243.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
33,524,524,Kasperl/Eberl_Tode_korr.csv,Sie haben’s nirgends sicher gelassen.,30,67,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,243.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
34,525,525,Kasperl/Eberl_Tode_korr.csv,"
       Ich beschloß also den Hrn.",0,34,character_speech,1,9,,"
       Rose.
      ",#rose,244.0,UNKNOWN,no_annotation,no_annotation,no_annotation,kasperl,KK
35,526,526,Kasperl/Eberl_Tode_korr.csv,einen Streich zu spielen; – dazu gab noch unsere dringende Noth Anlaß.,35,105,character_speech,1,9,,"
       Rose.
      ",#rose,244.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,kasperl,KK
