,kasperl_pre1_tag_type,kasperl_pre1_tag_type_percentage,comedies1740_1770_pre1_tag_type,comedies1740_1770_pre1_tag_type_percentage,typecomedies_pre1_tag_type,typecomedies_pre1_tag_type_percentage
Schadenfreude,13,0.9475218658892128,5.0,0.3304692663582287,5.0,0.7861635220125787
abhorrence,42,3.061224489795918,61.0,4.03172504957039,24.0,3.7735849056603774
"admiration, reverence",50,3.6443148688046647,46.0,3.040317250495704,18.0,2.8301886792452833
anger,54,3.9358600583090384,72.0,4.758757435558493,49.0,7.70440251572327
being moved,113,8.236151603498543,94.0,6.212822207534699,32.0,5.031446540880504
compassion,9,0.6559766763848397,11.0,0.7270323859881032,11.0,1.729559748427673
desire,1,0.0728862973760933,,,,
despair,11,0.8017492711370262,6.0,0.39656311962987445,3.0,0.4716981132075472
fear,30,2.186588921282799,19.0,1.255783212161269,10.0,1.5723270440251573
friendship,14,1.0204081632653061,21.0,1.3879709187045606,3.0,0.4716981132075472
joy,140,10.204081632653061,111.0,7.336417713152676,46.0,7.232704402515723
love,95,6.924198250728864,112.0,7.402511566424323,34.0,5.345911949685535
no_annotation,725,52.84256559766764,859.0,56.774619960343685,364.0,57.23270440251572
suffering,75,5.466472303206997,96.0,6.345009914077991,37.0,5.817610062893082
