,kasperl_pre1_base_polarity,kasperl_pre1_base_polarity_percentage,comedies1740_1770_pre1_base_polarity,comedies1740_1770_pre1_base_polarity_percentage,typecomedies_pre1_base_polarity,typecomedies_pre1_base_polarity_percentage
being moved,113,8.236151603498543,94,6.212822207534699,32,5.031446540880504
negative,221,16.107871720116616,265,17.514871116986118,134,21.069182389937108
no_annotation,725,52.84256559766764,859,56.774619960343685,364,57.23270440251572
positive,313,22.813411078717202,295,19.497686715135494,106,16.666666666666664
